Frame Number,Timecode,delta_hue,delta_lum,delta_hsv_avg,delta_sat
184,00:00:06.139,0.991759259259,0.00277777777778,0.3520781893,0.0616975308642
185,00:00:06.172,29.0480555556,0.00385802469136,10.2647530864,1.74234567901
186,00:00:06.206,0.0279938271605,0.00151234567901,0.0101131687243,0.000833333333333
187,00:00:06.239,0.0131790123457,0.000987654320988,0.00493827160494,0.000648148148148
188,00:00:06.272,0.0137962962963,0.00104938271605,0.00518518518519,0.00070987654321
189,00:00:06.306,0.0283950617284,0.00135802469136,0.0102057613169,0.000864197530864
190,00:00:06.339,0.12049382716,0.00938271604938,0.0451234567901,0.00549382716049
191,00:00:06.373,28.4922530864,0.0116049382716,10.0725720165,1.71385802469
192,00:00:06.406,1.09722222222,0.0319444444444,0.394372427984,0.053950617284
193,00:00:06.439,1.49608024691,1.2012345679,0.921316872428,0.0666358024691
194,00:00:06.473,30.5498148148,1.21564814815,11.1948765432,1.81916666667
195,00:00:06.506,0.00608024691358,0.00206790123457,0.0029012345679,0.000555555555556
196,00:00:06.539,0.00237654320988,0.00104938271605,0.00123456790123,0.000277777777778
197,00:00:06.573,0.00299382716049,0.00117283950617,0.00150205761317,0.00033950617284
198,00:00:06.606,0.00533950617284,0.00154320987654,0.00248971193416,0.000586419753086
199,00:00:06.639,0.121296296296,0.00466049382716,0.0435288065844,0.00462962962963
200,00:00:06.673,28.5207098765,0.00617283950617,10.0778806584,1.70675925926
201,00:00:06.706,0.950339506173,0.00725308641975,0.334958847737,0.0472839506173
202,00:00:06.740,1.77651234568,1.19675925926,1.01615226337,0.0751851851852
203,00:00:06.773,29.9748148148,1.19385802469,10.9844855967,1.78478395062
204,00:00:06.806,0.0121913580247,0.00148148148148,0.00488683127572,0.000987654320988
205,00:00:06.840,0.010524691358,0.00117283950617,0.00414609053498,0.000740740740741
206,00:00:06.873,0.0108333333333,0.00141975308642,0.00433127572016,0.000740740740741
207,00:00:06.906,0.0111111111111,0.00104938271605,0.00439300411523,0.00101851851852
208,00:00:06.940,0.00679012345679,0.000925925925926,0.0027366255144,0.000493827160494
209,00:00:06.973,27.8990740741,0.00197530864198,9.85770576132,1.67206790123
210,00:00:07.007,2.4450617284,1.19274691358,1.25258230453,0.119938271605
211,00:00:07.040,0.634722222222,1.19716049383,0.614547325103,0.0117592592593
212,00:00:07.073,29.4713888889,0.0204938271605,10.4185596708,1.7637962963
213,00:00:07.107,28.2295987654,1.11771604938,10.3449485597,1.6875308642
214,00:00:07.140,0.0345679012346,0.00179012345679,0.0125,0.00114197530864
215,00:00:07.173,0.0401234567901,0.000679012345679,0.0138477366255,0.000740740740741
216,00:00:07.207,0.0696604938272,0.000771604938272,0.0242283950617,0.00225308641975
