00:00:00.033,00:00:03.636,00:00:08.408,00:03:00.747,00:03:09.422,00:05:13.012,00:05:50.149
Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,1,00:00:00.033,0.0333666666667,3.6036
2,109,00:00:03.636,3.63696666667,4.77143333333
3,252,00:00:08.408,8.4084,172.338833333
4,5417,00:03:00.747,180.747233333,8.67533333333
5,5677,00:03:09.422,189.422566667,123.590133333
6,9381,00:05:13.012,313.0127,37.1371
7,10494,00:05:50.149,350.1498,4.43776666667
